timestamp,sensor_id,sensor_type,value,unit
2025-05-15T11:12:09-03:00,temp001,temperature,24.54,°C
2025-05-15T11:12:09-03:00,hum001,humidity,55.87,%
2025-05-15T11:12:09-03:00,light001,light,893.84,lux
2025-05-15T11:12:09-03:00,press001,pressure,1005.48,hPa
2025-05-15T11:12:10-03:00,temp001,temperature,24.81,°C
2025-05-15T11:12:10-03:00,hum001,humidity,55.97,%
2025-05-15T11:12:10-03:00,light001,light,1000.00,lux
2025-05-15T11:12:10-03:00,press001,pressure,1005.75,hPa
2025-05-15T11:12:11-03:00,temp001,temperature,25.14,°C
2025-05-15T11:12:11-03:00,hum001,humidity,55.80,%
2025-05-15T11:12:11-03:00,light001,light,1000.00,lux
2025-05-15T11:12:11-03:00,press001,pressure,1006.57,hPa
2025-05-15T11:12:12-03:00,temp001,temperature,25.52,°C
2025-05-15T11:12:12-03:00,hum001,humidity,55.43,%
2025-05-15T11:12:12-03:00,light001,light,1000.00,lux
2025-05-15T11:12:12-03:00,press001,pressure,1007.08,hPa
2025-05-15T11:12:13-03:00,temp001,temperature,25.95,°C
2025-05-15T11:12:13-03:00,hum001,humidity,54.85,%
2025-05-15T11:12:13-03:00,light001,light,1000.00,lux
2025-05-15T11:12:13-03:00,press001,pressure,1007.61,hPa
2025-05-15T11:12:14-03:00,temp001,temperature,26.21,°C
2025-05-15T11:12:14-03:00,hum001,humidity,53.27,%
2025-05-15T11:12:14-03:00,light001,light,1000.00,lux
2025-05-15T11:12:14-03:00,press001,pressure,1008.13,hPa
2025-05-15T11:12:15-03:00,temp001,temperature,27.00,°C
2025-05-15T11:12:15-03:00,hum001,humidity,52.27,%
2025-05-15T11:12:15-03:00,light001,light,1000.00,lux
2025-05-15T11:12:15-03:00,press001,pressure,1008.55,hPa
2025-05-15T11:12:16-03:00,temp001,temperature,27.77,°C
2025-05-15T11:12:16-03:00,hum001,humidity,51.57,%
2025-05-15T11:12:16-03:00,light001,light,1000.00,lux
2025-05-15T11:12:16-03:00,press001,pressure,1008.55,hPa
2025-05-15T11:12:17-03:00,temp001,temperature,28.17,°C
2025-05-15T11:12:17-03:00,hum001,humidity,49.97,%
2025-05-15T11:12:17-03:00,light001,light,1000.00,lux
2025-05-15T11:12:17-03:00,press001,pressure,1008.55,hPa
2025-05-15T11:12:18-03:00,temp001,temperature,28.40,°C
